word,freq_2025,freq_1998,rel_2025,rel_1998,rel_diff
监委,75,0,0.00087526,0.00000000,0.00087526
两个,74,0,0.00086359,0.00000000,0.00086359
更好,74,0,0.00086359,0.00000000,0.00086359
振兴,86,90,0.00100363,0.00014695,0.00085668
我们,357,2027,0.00416623,0.00330966,0.00085657
教育,168,678,0.00196058,0.00110703,0.00085355
精神,168,686,0.00196058,0.00112009,0.00084049
重要讲话,72,0,0.00084025,0.00000000,0.00084025
减负,72,2,0.00084025,0.00000327,0.00083698
坚定,79,54,0.00092194,0.00008817,0.00083377
力量,108,264,0.00126037,0.00043106,0.00082932
确保,86,107,0.00100363,0.00017471,0.00082892
2025,71,0,0.00082858,0.00000000,0.00082858
生态,81,76,0.00094528,0.00012409,0.00082119
消费,89,138,0.00103864,0.00022532,0.00081332
斗争,102,239,0.00119035,0.00039024,0.00080012
政治,142,525,0.00165716,0.00085721,0.00079994
政策,161,663,0.00187889,0.00108254,0.00079635
强国,70,13,0.00081691,0.00002123,0.00079568
引领,68,0,0.00079357,0.00000000,0.00079357
中央纪委,68,0,0.00079357,0.00000000,0.00079357
救援,71,26,0.00082858,0.00004245,0.00078613
构建,70,19,0.00081691,0.00003102,0.00078588
任务,124,407,0.00144709,0.00066454,0.00078255
重点,122,397,0.00142375,0.00064822,0.00077554
智慧,72,49,0.00084025,0.00008001,0.00076024
三中全会,68,26,0.00079357,0.00004245,0.00075111
应急,69,37,0.00080524,0.00006041,0.00074482
强调,118,390,0.00137707,0.00063679,0.00074029
实施,125,441,0.00145876,0.00072006,0.00073870
打造,63,1,0.00073522,0.00000163,0.00073358
统筹,66,23,0.00077023,0.00003755,0.00073267
融合,65,18,0.00075856,0.00002939,0.00072917
制度,137,535,0.00159880,0.00087354,0.00072526
征程,63,7,0.00073522,0.00001143,0.00072379
民生,62,2,0.00072355,0.00000327,0.00072028
担当,62,9,0.00072355,0.00001470,0.00070885
做好,82,155,0.00095695,0.00025308,0.00070387
绿色,68,56,0.00079357,0.00009144,0.00070213
维护,84,172,0.00098029,0.00028084,0.00069945
数据,65,48,0.00075856,0.00007837,0.00068018
12,58,0,0.00067687,0.00000000,0.00067687
受灾,62,32,0.00072355,0.00005225,0.00067130
优化,72,104,0.00084025,0.00016981,0.00067044
坚决,77,153,0.00089860,0.00024982,0.00064878
深刻,71,117,0.00082858,0.00019104,0.00063754
协同,56,14,0.00065353,0.00002286,0.00063067
贯彻落实,54,0,0.00063019,0.00000000,0.00063019
新质,54,0,0.00063019,0.00000000,0.00063019
自我,61,57,0.00071188,0.00009307,0.00061881
升级,57,30,0.00066520,0.00004898,0.00061621
智能,54,10,0.00063019,0.00001633,0.00061386
科技,155,732,0.00180887,0.00119520,0.00061367
物流,53,3,0.00061852,0.00000490,0.00061362
着力,59,46,0.00068854,0.00007511,0.00061343
核心,71,135,0.00082858,0.00022043,0.00060815
合作,156,743,0.00182054,0.00121316,0.00060738
聚焦,53,8,0.00061852,0.00001306,0.00060545
传承,52,2,0.00060685,0.00000327,0.00060358
贯彻,89,267,0.00103864,0.00043595,0.00060269
革命,86,250,0.00100363,0.00040820,0.00059543
增强,84,238,0.00098029,0.00038860,0.00059169
改革,229,1279,0.00267246,0.00208833,0.00058412
复兴,52,16,0.00060685,0.00002612,0.00058072
举措,58,60,0.00067687,0.00009797,0.00057890
规划,66,119,0.00077023,0.00019430,0.00057593
基础设施,49,0,0.00057184,0.00000000,0.00057184
形式主义,51,17,0.00059518,0.00002776,0.00056742
中方,56,53,0.00065353,0.00008654,0.00056699
扎实,55,48,0.00064186,0.00007837,0.00056348
需求,74,187,0.00086359,0.00030533,0.00055826
转型,50,18,0.00058351,0.00002939,0.00055412
促进,109,445,0.00127204,0.00072659,0.00054545
党纪,47,7,0.00054850,0.00001143,0.00053707
全国政协,46,0,0.00053683,0.00000000,0.00053683
高水平,46,0,0.00053683,0.00000000,0.00053683
11,46,0,0.00053683,0.00000000,0.00053683
能力,92,329,0.00107365,0.00053719,0.00053646
作风,61,108,0.00071188,0.00017634,0.00053554
冰雪,50,30,0.00058351,0.00004898,0.00053452
拓展,50,32,0.00058351,0.00005225,0.00053126
信心,63,128,0.00073522,0.00020900,0.00052622
首次,45,0,0.00052515,0.00000000,0.00052515
30,45,0,0.00052515,0.00000000,0.00052515
20,45,0,0.00052515,0.00000000,0.00052515
凝聚,50,37,0.00058351,0.00006041,0.00052309
支撑,50,39,0.00058351,0.00006368,0.00051983
常态,45,5,0.00052515,0.00000816,0.00051699
成果,85,293,0.00099196,0.00047841,0.00051355
精准,43,0,0.00050181,0.00000000,0.00050181
李强,43,0,0.00050181,0.00000000,0.00050181
经济社会,43,0,0.00050181,0.00000000,0.00050181
游客,54,80,0.00063019,0.00013062,0.00049956
就是,59,118,0.00068854,0.00019267,0.00049587
大家,77,247,0.00089860,0.00040330,0.00049530
成效,55,90,0.00064186,0.00014695,0.00049491
战略,90,341,0.00105031,0.00055678,0.00049353
供给,48,41,0.00056017,0.00006694,0.00049322
作出,93,366,0.00108532,0.00059760,0.00048772
中共中央,51,67,0.00059518,0.00010940,0.00048578
相关,51,71,0.00059518,0.00011593,0.00047925
主体,56,107,0.00065353,0.00017471,0.00047882
生产力,55,101,0.00064186,0.00016491,0.00047694
巩固,53,89,0.00061852,0.00014532,0.00047320
引导,58,126,0.00067687,0.00020573,0.00047114
保护,79,277,0.00092194,0.00045228,0.00046966
决策,57,121,0.00066520,0.00019757,0.00046763
更新,46,43,0.00053683,0.00007021,0.00046662
平台,41,10,0.00047847,0.00001633,0.00046215
应对,40,5,0.00046680,0.00000816,0.00045864
腐败,70,221,0.00081691,0.00036085,0.00045606
村民,55,114,0.00064186,0.00018614,0.00045572
身边,46,50,0.00053683,0.00008164,0.00045519
赋能,39,0,0.00045513,0.00000000,0.00045513
表示,137,704,0.00159880,0.00114948,0.00044932
巡视,39,4,0.00045513,0.00000653,0.00044860
重大,84,327,0.00098029,0.00053392,0.00044637
把握,46,56,0.00053683,0.00009144,0.00044539
考察,52,100,0.00060685,0.00016328,0.00044357
亿元,38,0,0.00044346,0.00000000,0.00044346
两国,38,0,0.00044346,0.00000000,0.00044346
党组,42,29,0.00049014,0.00004735,0.00044279
使命,45,51,0.00052515,0.00008327,0.00044188
走进,38,1,0.00044346,0.00000163,0.00044183
强大,46,63,0.00053683,0.00010287,0.00043396
落地,38,6,0.00044346,0.00000980,0.00043367
不能,37,0,0.00043179,0.00000000,0.00043179
激发,41,30,0.00047847,0.00004898,0.00042949
老年人,38,9,0.00044346,0.00001470,0.00042877
万亿元,36,0,0.00042012,0.00000000,0.00042012
改革开放,36,0,0.00042012,0.00000000,0.00042012
同比,38,15,0.00044346,0.00002449,0.00041897
审计,45,67,0.00052515,0.00010940,0.00041576
西藏,48,89,0.00056017,0.00014532,0.00041485
始终,53,126,0.00061852,0.00020573,0.00041278
综合,56,148,0.00065353,0.00024165,0.00041187
有力,48,92,0.00056017,0.00015022,0.00040995
全力,39,28,0.00045513,0.00004572,0.00040942
动能,35,0,0.00040845,0.00000000,0.00040845
中心,93,415,0.00108532,0.00067761,0.00040771
责任,67,231,0.00078190,0.00037717,0.00040472
实现,131,689,0.00152878,0.00112499,0.00040379
网络,48,96,0.00056017,0.00015675,0.00040342
城乡,43,62,0.00050181,0.00010123,0.00040058
共同体,35,7,0.00040845,0.00001143,0.00039702
八项,34,0,0.00039678,0.00000000,0.00039678
以旧换新,34,0,0.00039678,0.00000000,0.00039678
活力,46,86,0.00053683,0.00014042,0.00039641
行动,73,281,0.00085192,0.00045881,0.00039311
协调,54,149,0.00063019,0.00024329,0.00038690
周年,51,128,0.00059518,0.00020900,0.00038618
十四五,33,0,0.00038511,0.00000000,0.00038511
15,33,0,0.00038511,0.00000000,0.00038511
一系列,33,0,0.00038511,0.00000000,0.00038511
有序,37,31,0.00043179,0.00005062,0.00038118
命运,40,55,0.00046680,0.00008980,0.00037700
一路,35,21,0.00040845,0.00003429,0.00037417
研发,32,0,0.00037344,0.00000000,0.00037344
75,32,0,0.00037344,0.00000000,0.00037344
助力,32,0,0.00037344,0.00000000,0.00037344
消费品,35,22,0.00040845,0.00003592,0.00037253
有效,66,246,0.00077023,0.00040167,0.00036856
伟业,32,5,0.00037344,0.00000816,0.00036528
腐败问题,31,0,0.00036177,0.00000000,0.00036177
最大,31,0,0.00036177,0.00000000,0.00036177
党和国家,31,0,0.00036177,0.00000000,0.00036177
万元,31,0,0.00036177,0.00000000,0.00036177
才能,34,24,0.00039678,0.00003919,0.00035760
创业,35,32,0.00040845,0.00005225,0.00035620
干事,31,4,0.00036177,0.00000653,0.00035524
中共,33,19,0.00038511,0.00003102,0.00035409
一线,32,12,0.00037344,0.00001959,0.00035385
交流,57,192,0.00066520,0.00031349,0.00035170
一道,35,35,0.00040845,0.00005715,0.00035131
加力,30,0,0.00035010,0.00000000,0.00035010
中央政治局常委,30,0,0.00035010,0.00000000,0.00035010
京东,30,0,0.00035010,0.00000000,0.00035010
重庆,39,66,0.00045513,0.00010776,0.00034737
带动,43,97,0.00050181,0.00015838,0.00034343
因地制宜,32,19,0.00037344,0.00003102,0.00034242
自信,31,12,0.00036177,0.00001959,0.00034218
动力,37,57,0.00043179,0.00009307,0.00033873
50,29,0,0.00033843,0.00000000,0.00033843
多个,29,0,0.00033843,0.00000000,0.00033843
人工智能,29,0,0.00033843,0.00000000,0.00033843
补贴,34,36,0.00039678,0.00005878,0.00033800
培育,40,79,0.00046680,0.00012899,0.00033781
坚强,33,29,0.00038511,0.00004735,0.00033776
指出,99,504,0.00115534,0.00082292,0.00033242
机关,78,354,0.00091027,0.00057801,0.00033226
挑战,44,111,0.00051348,0.00018124,0.00033225
共识,34,40,0.00039678,0.00006531,0.00033147
治党,27,0,0.00031509,0.00000000,0.00031509
发力,27,0,0.00031509,0.00000000,0.00031509
中国联通,27,0,0.00031509,0.00000000,0.00031509
文化遗产,27,0,0.00031509,0.00000000,0.00031509
特高压,27,0,0.00031509,0.00000000,0.00031509
更多,27,0,0.00031509,0.00000000,0.00031509
党的纪律,27,0,0.00031509,0.00000000,0.00031509
实践,67,286,0.00078190,0.00046698,0.00031492
中欧,27,1,0.00031509,0.00000163,0.00031346
温暖,47,144,0.00054850,0.00023512,0.00031337
调研,29,16,0.00033843,0.00002612,0.00031231
负责人,45,132,0.00052515,0.00021553,0.00030963
围绕,44,126,0.00051348,0.00020573,0.00030775
作为,104,555,0.00121369,0.00090620,0.00030749
体验,29,19,0.00033843,0.00003102,0.00030741
铲除,27,5,0.00031509,0.00000816,0.00030693
空间站,27,5,0.00031509,0.00000816,0.00030693
覆盖,32,41,0.00037344,0.00006694,0.00030650
应用,36,70,0.00042012,0.00011430,0.00030583
合力,29,20,0.00033843,0.00003266,0.00030578
产业链,26,0,0.00030342,0.00000000,0.00030342
愿同,26,0,0.00030342,0.00000000,0.00030342
反腐,26,0,0.00030342,0.00000000,0.00030342
二十大,26,0,0.00030342,0.00000000,0.00030342
突出,52,186,0.00060685,0.00030370,0.00030315
安全,78,374,0.00091027,0.00061066,0.00029961
奋进,29,24,0.00033843,0.00003919,0.00029925
关于,67,296,0.00078190,0.00048330,0.00029859
法学会,26,3,0.00030342,0.00000490,0.00029852
党组织,30,32,0.00035010,0.00005225,0.00029785
专项,32,47,0.00037344,0.00007674,0.00029670
场景,27,12,0.00031509,0.00001959,0.00029550
中华人民共和国,33,55,0.00038511,0.00008980,0.00029531
能源,33,55,0.00038511,0.00008980,0.00029531
指导,58,234,0.00067687,0.00038207,0.00029479
共同,89,456,0.00103864,0.00074455,0.00029409
坚定不移,30,35,0.00035010,0.00005715,0.00029296
新能源,25,0,0.00029175,0.00000000,0.00029175
丁薛祥,25,0,0.00029175,0.00000000,0.00029175
彰显,25,0,0.00029175,0.00000000,0.00029175
党的建设,25,0,0.00029175,0.00000000,0.00029175
集中统一,25,0,0.00029175,0.00000000,0.00029175
全权大使,25,0,0.00029175,0.00000000,0.00029175
2023,25,0,0.00029175,0.00000000,0.00029175
践行,25,0,0.00029175,0.00000000,0.00029175
一体,29,30,0.00033843,0.00004898,0.00028945
共建,28,23,0.00032676,0.00003755,0.00028921
特命,25,2,0.00029175,0.00000327,0.00028849
标准,55,219,0.00064186,0.00035758,0.00028428
抗震救灾,33,62,0.00038511,0.00010123,0.00028388
政法,26,12,0.00030342,0.00001959,0.00028383
湖北,30,41,0.00035010,0.00006694,0.00028316
释放,28,27,0.00032676,0.00004409,0.00028268
辽宁,28,28,0.00032676,0.00004572,0.00028105
党建,27,21,0.00031509,0.00003429,0.00028080
设备,52,200,0.00060685,0.00032656,0.00028029
不正之风,28,30,0.00032676,0.00004898,0.00027778
全会,28,30,0.00032676,0.00004898,0.00027778
指示,32,59,0.00037344,0.00009633,0.00027711
蔬菜,41,124,0.00047847,0.00020247,0.00027601
智能化,24,3,0.00028008,0.00000490,0.00027518
新型,33,68,0.00038511,0.00011103,0.00027408
全党,32,61,0.00037344,0.00009960,0.00027384
关键,51,197,0.00059518,0.00032166,0.00027352
发布,30,47,0.00035010,0.00007674,0.00027336
自主,29,40,0.00033843,0.00006531,0.00027312
空间,32,63,0.00037344,0.00010287,0.00027058
各族人民,23,0,0.00026841,0.00000000,0.00026841
中共中央政治局,23,0,0.00026841,0.00000000,0.00026841
明确要求,23,0,0.00026841,0.00000000,0.00026841
旅游,49,188,0.00057184,0.00030696,0.00026487
法学,24,11,0.00028008,0.00001796,0.00026212
增收,26,26,0.00030342,0.00004245,0.00026097
激励,29,48,0.00033843,0.00007837,0.00026006
复杂,31,64,0.00036177,0.00010450,0.00025728
增量,24,14,0.00028008,0.00002286,0.00025722
攻坚克难,22,0,0.00025674,0.00000000,0.00025674
两国关系,22,0,0.00025674,0.00000000,0.00025674
蔡奇,22,0,0.00025674,0.00000000,0.00025674
17,22,0,0.00025674,0.00000000,0.00025674
管党,22,0,0.00025674,0.00000000,0.00025674
供应链,22,0,0.00025674,0.00000000,0.00025674
不敢,22,0,0.00025674,0.00000000,0.00025674
定日县,22,0,0.00025674,0.00000000,0.00025674
出台,29,51,0.00033843,0.00008327,0.00025516
祝福,27,38,0.00031509,0.00006205,0.00025305
深度,24,17,0.00028008,0.00002776,0.00025233
效能,22,3,0.00025674,0.00000490,0.00025184
社会主义,122,718,0.00142375,0.00117234,0.00025141
一起,53,225,0.00061852,0.00036738,0.00025114
来到,51,211,0.00059518,0.00034452,0.00025066
布局,28,47,0.00032676,0.00007674,0.00025002
壮大,26,34,0.00030342,0.00005551,0.00024791
发挥,68,335,0.00079357,0.00054698,0.00024658
高效,27,42,0.00031509,0.00006858,0.00024652
纪律,31,71,0.00036177,0.00011593,0.00024585
携手,24,21,0.00028008,0.00003429,0.00024579
做到,37,114,0.00043179,0.00018614,0.00024566
互鉴,21,0,0.00024507,0.00000000,0.00024507
收官,21,0,0.00024507,0.00000000,0.00024507
基层干部,21,0,0.00024507,0.00000000,0.00024507
中国共产党,21,0,0.00024507,0.00000000,0.00024507
26,21,0,0.00024507,0.00000000,0.00024507
全国人大常委会,21,0,0.00024507,0.00000000,0.00024507
王沪宁,21,0,0.00024507,0.00000000,0.00024507
两国人民,21,0,0.00024507,0.00000000,0.00024507
主动,32,79,0.00037344,0.00012899,0.00024445
数字,36,108,0.00042012,0.00017634,0.00024378
载人,21,1,0.00024507,0.00000163,0.00024344
互利,23,16,0.00026841,0.00002612,0.00024229
订单,23,17,0.00026841,0.00002776,0.00024066
力度,52,225,0.00060685,0.00036738,0.00023947
过冬,22,11,0.00025674,0.00001796,0.00023878
奋斗,35,104,0.00040845,0.00016981,0.00023864
纵深,21,4,0.00024507,0.00000653,0.00023854
生动,27,47,0.00031509,0.00007674,0.00023835
种植,32,83,0.00037344,0.00013552,0.00023792
优势,59,276,0.00068854,0.00045065,0.00023789
一家,25,33,0.00029175,0.00005388,0.00023787
自身,38,126,0.00044346,0.00020573,0.00023773
土壤,23,19,0.00026841,0.00003102,0.00023739
联动,21,5,0.00024507,0.00000816,0.00023691
一带,21,6,0.00024507,0.00000980,0.00023528
风险,44,171,0.00051348,0.00027921,0.00023428
建交,28,57,0.00032676,0.00009307,0.00023369
印发,21,7,0.00024507,0.00001143,0.00023364
40,20,0,0.00023340,0.00000000,0.00023340
风腐,20,0,0.00023340,0.00000000,0.00023340
文旅,20,0,0.00023340,0.00000000,0.00023340
乡亲们,20,0,0.00023340,0.00000000,0.00023340
13,20,0,0.00023340,0.00000000,0.00023340
年来,20,0,0.00023340,0.00000000,0.00023340
24,20,0,0.00023340,0.00000000,0.00023340
充分发挥,20,0,0.00023340,0.00000000,0.00023340
务实,26,43,0.00030342,0.00007021,0.00023321
扩大,56,258,0.00065353,0.00042126,0.00023227
听取,28,58,0.00032676,0.00009470,0.00023206
弘扬,26,44,0.00030342,0.00007184,0.00023158
运营,24,30,0.00028008,0.00004898,0.00023110
安置,30,73,0.00035010,0.00011919,0.00023091
切实,42,159,0.00049014,0.00025961,0.00023053
理念,21,9,0.00024507,0.00001470,0.00023038
营造,26,45,0.00030342,0.00007348,0.00022995
探索,42,160,0.00049014,0.00026125,0.00022890
长效,20,3,0.00023340,0.00000490,0.00022850
就业,60,289,0.00070021,0.00047188,0.00022833
坚实,24,32,0.00028008,0.00005225,0.00022783
红色,22,18,0.00025674,0.00002939,0.00022735
县域,21,11,0.00024507,0.00001796,0.00022711
召开,58,276,0.00067687,0.00045065,0.00022622
攻坚战,23,26,0.00026841,0.00004245,0.00022596
道路,40,148,0.00046680,0.00024165,0.00022515
贯通,20,6,0.00023340,0.00000980,0.00022361
家电,23,28,0.00026841,0.00004572,0.00022269
开放,69,357,0.00080524,0.00058290,0.00022233
各类,34,107,0.00039678,0.00017471,0.00022208
四个,19,0,0.00022173,0.00000000,0.00022173
不到,19,0,0.00022173,0.00000000,0.00022173
一份,19,0,0.00022173,0.00000000,0.00022173
办好,19,0,0.00022173,0.00000000,0.00022173
公共服务,19,0,0.00022173,0.00000000,0.00022173
100,19,0,0.00022173,0.00000000,0.00022173
22,19,0,0.00022173,0.00000000,0.00022173
文化战线,19,0,0.00022173,0.00000000,0.00022173
服务中心,19,0,0.00022173,0.00000000,0.00022173
广大党员,19,0,0.00022173,0.00000000,0.00022173
定日,19,0,0.00022173,0.00000000,0.00022173
事项,21,15,0.00024507,0.00002449,0.00022058
帮扶,24,37,0.00028008,0.00006041,0.00021967
领悟,19,2,0.00022173,0.00000327,0.00021847
转化,30,81,0.00035010,0.00013226,0.00021785
航天,26,54,0.00030342,0.00008817,0.00021525
团队,19,4,0.00022173,0.00000653,0.00021520
工作者,31,90,0.00036177,0.00014695,0.00021482
融入,22,26,0.00025674,0.00004245,0.00021429
救治,20,12,0.00023340,0.00001959,0.00021381
制造业,20,12,0.00023340,0.00001959,0.00021381
延安,21,20,0.00024507,0.00003266,0.00021242
增长,123,750,0.00143542,0.00122459,0.00021083
倡议,21,21,0.00024507,0.00003429,0.00021078
规范,41,164,0.00047847,0.00026778,0.00021070
展现,25,50,0.00029175,0.00008164,0.00021011
18,18,0,0.00021006,0.00000000,0.00021006
服务设施,18,0,0.00021006,0.00000000,0.00021006
工作人员,18,0,0.00021006,0.00000000,0.00021006
普惠,18,0,0.00021006,0.00000000,0.00021006
高度重视,18,0,0.00021006,0.00000000,0.00021006
施策,18,0,0.00021006,0.00000000,0.00021006
一步,18,0,0.00021006,0.00000000,0.00021006
经济运行,18,0,0.00021006,0.00000000,0.00021006
一批,18,0,0.00021006,0.00000000,0.00021006
多项,18,0,0.00021006,0.00000000,0.00021006
坚定信心,18,0,0.00021006,0.00000000,0.00021006
中华儿女,18,0,0.00021006,0.00000000,0.00021006
80,18,0,0.00021006,0.00000000,0.00021006
同查,18,0,0.00021006,0.00000000,0.00021006
履职,18,0,0.00021006,0.00000000,0.00021006
同治,18,0,0.00021006,0.00000000,0.00021006
宣传,51,236,0.00059518,0.00038534,0.00020984
和谐,21,22,0.00024507,0.00003592,0.00020915
方向,36,130,0.00042012,0.00021226,0.00020786
通道,21,23,0.00024507,0.00003755,0.00020752
抓好,33,109,0.00038511,0.00017797,0.00020714
汇聚,19,9,0.00022173,0.00001470,0.00020704
航天员,18,2,0.00021006,0.00000327,0.00020680
年货,23,38,0.00026841,0.00006205,0.00020637
取得,99,582,0.00115534,0.00095028,0.00020506
沟通,23,39,0.00026841,0.00006368,0.00020473
化解,21,25,0.00024507,0.00004082,0.00020425
衔接,20,18,0.00023340,0.00002939,0.00020401
过去,67,355,0.00078190,0.00057964,0.00020226
纪委,26,62,0.00030342,0.00010123,0.00020219
阐释,18,5,0.00021006,0.00000816,0.00020190
致以,23,41,0.00026841,0.00006694,0.00020147
滋生,19,13,0.00022173,0.00002123,0.00020051
惠民,18,6,0.00021006,0.00000980,0.00020027
协作,23,42,0.00026841,0.00006858,0.00019984
突破,41,171,0.00047847,0.00027921,0.00019927
国家,258,1722,0.00301089,0.00281166,0.00019923
处置,19,14,0.00022173,0.00002286,0.00019887
决定性,19,14,0.00022173,0.00002286,0.00019887
启动,25,57,0.00029175,0.00009307,0.00019868
申遗,17,0,0.00019839,0.00000000,0.00019839
韧性,17,0,0.00019839,0.00000000,0.00019839
党员干部,17,0,0.00019839,0.00000000,0.00019839
惠及,17,0,0.00019839,0.00000000,0.00019839
中央书记处,17,0,0.00019839,0.00000000,0.00019839
大湾,17,0,0.00019839,0.00000000,0.00019839
60,17,0,0.00019839,0.00000000,0.00019839
中华文明,17,0,0.00019839,0.00000000,0.00019839
传统产业,17,0,0.00019839,0.00000000,0.00019839
25,17,0,0.00019839,0.00000000,0.00019839
扩围,17,0,0.00019839,0.00000000,0.00019839
成渝,17,0,0.00019839,0.00000000,0.00019839
70,17,0,0.00019839,0.00000000,0.00019839
首个,17,0,0.00019839,0.00000000,0.00019839
依托,22,36,0.00025674,0.00005878,0.00019796
人才,54,265,0.00063019,0.00043269,0.00019750
班列,17,1,0.00019839,0.00000163,0.00019676
系统性,17,1,0.00019839,0.00000163,0.00019676
耕地,22,37,0.00025674,0.00006041,0.00019633
督促,18,9,0.00021006,0.00001470,0.00019537
实时,17,2,0.00019839,0.00000327,0.00019513
工厂,26,67,0.00030342,0.00010940,0.00019403
背后,19,17,0.00022173,0.00002776,0.00019397
无党派人士,18,10,0.00021006,0.00001633,0.00019373
前行,17,3,0.00019839,0.00000490,0.00019349
截至,28,82,0.00032676,0.00013389,0.00019287
跨越,19,18,0.00022173,0.00002939,0.00019234
坚守,19,18,0.00022173,0.00002939,0.00019234
确立,23,47,0.00026841,0.00007674,0.00019167
加大,48,226,0.00056017,0.00036901,0.00019116
整改,19,19,0.00022173,0.00003102,0.00019071
山东,25,62,0.00029175,0.00010123,0.00019052
区域,38,155,0.00044346,0.00025308,0.00019038
业态,17,5,0.00019839,0.00000816,0.00019023
多边,18,14,0.00021006,0.00002286,0.00018720
派驻,17,7,0.00019839,0.00001143,0.00018696
搜救,16,0,0.00018672,0.00000000,0.00018672
党风廉政,16,0,0.00018672,0.00000000,0.00018672
不想,16,0,0.00018672,0.00000000,0.00018672
斯方,16,0,0.00018672,0.00000000,0.00018672
21,16,0,0.00018672,0.00000000,0.00018672
200,16,0,0.00018672,0.00000000,0.00018672
紧盯,16,0,0.00018672,0.00000000,0.00018672
人民政协,16,0,0.00018672,0.00000000,0.00018672
现场,35,136,0.00040845,0.00022206,0.00018639
数字化,18,15,0.00021006,0.00002449,0.00018557
二中,16,1,0.00018672,0.00000163,0.00018509
路上,19,23,0.00022173,0.00003755,0.00018418
忠诚,19,23,0.00022173,0.00003755,0.00018418
准确,24,59,0.00028008,0.00009633,0.00018375
秘鲁,17,9,0.00019839,0.00001470,0.00018370
团圆,17,9,0.00019839,0.00001470,0.00018370
期待,19,24,0.00022173,0.00003919,0.00018255
鲜明,20,32,0.00023340,0.00005225,0.00018115
贡献,53,268,0.00061852,0.00043759,0.00018093
廉洁,18,18,0.00021006,0.00002939,0.00018067
包容,16,4,0.00018672,0.00000653,0.00018019
互信,16,4,0.00018672,0.00000653,0.00018019
重建,22,47,0.00025674,0.00007674,0.00018000
东北,22,47,0.00025674,0.00007674,0.00018000
装备,21,40,0.00024507,0.00006531,0.00017976
关切,17,12,0.00019839,0.00001959,0.00017880
持久战,16,5,0.00018672,0.00000816,0.00017856
太湖,16,5,0.00018672,0.00000816,0.00017856
人文,18,20,0.00021006,0.00003266,0.00017741
